"","timestamp","event.hyperUnique_unique_agents","event.longSum_total_records","event.agent_home_planningarea","event.origin_subzone"
"1","2018-01-06T00:00:00.000+08:00",40,40,"BM","KLSZ05"
"2","2018-01-06T00:00:00.000+08:00",40,40,"BS","KLSZ05"
"3","2018-01-06T00:00:00.000+08:00",40,40,"BT","KLSZ05"
"4","2018-01-06T00:00:00.000+08:00",40,40,"DT","KLSZ05"
"5","2018-01-06T00:00:00.000+08:00",40,41,"GL","KLSZ05"
"6","2018-01-06T00:00:00.000+08:00",192,190,"KL","KLSZ05"
"7","2018-01-06T00:00:00.000+08:00",40,40,"ME","KLSZ05"
"8","2018-01-06T00:00:00.000+08:00",40,40,"MP","KLSZ05"
"9","2018-01-06T00:00:00.000+08:00",40,40,"MS","KLSZ05"
"10","2018-01-06T00:00:00.000+08:00",40,40,"NV","KLSZ05"
"11","2018-01-06T00:00:00.000+08:00",40,40,"OT","KLSZ05"
"12","2018-01-06T00:00:00.000+08:00",40,40,"QT","KLSZ05"
"13","2018-01-06T00:00:00.000+08:00",40,40,"RC","KLSZ05"
"14","2018-01-06T00:00:00.000+08:00",40,40,"SI","KLSZ05"
"15","2018-01-06T00:00:00.000+08:00",40,40,"SV","KLSZ05"
"16","2018-01-06T00:00:00.000+08:00",40,40,"TP","KLSZ05"
"17","2018-01-06T01:00:00.000+08:00",40,40,"BM","KLSZ05"
"18","2018-01-06T01:00:00.000+08:00",40,40,"BS","KLSZ05"
"19","2018-01-06T01:00:00.000+08:00",40,40,"BT","KLSZ05"
"20","2018-01-06T01:00:00.000+08:00",40,40,"DT","KLSZ05"
"21","2018-01-06T01:00:00.000+08:00",66,65,"GL","KLSZ05"
"22","2018-01-06T01:00:00.000+08:00",221,225,"KL","KLSZ05"
"23","2018-01-06T01:00:00.000+08:00",40,40,"ME","KLSZ05"
"24","2018-01-06T01:00:00.000+08:00",40,40,"MP","KLSZ05"
"25","2018-01-06T01:00:00.000+08:00",40,40,"MS","KLSZ05"
"26","2018-01-06T01:00:00.000+08:00",40,40,"NT","KLSZ05"
"27","2018-01-06T01:00:00.000+08:00",40,40,"NV","KLSZ05"
"28","2018-01-06T01:00:00.000+08:00",40,40,"OR","KLSZ05"
"29","2018-01-06T01:00:00.000+08:00",40,40,"OT","KLSZ05"
"30","2018-01-06T01:00:00.000+08:00",40,40,"QT","KLSZ05"
"31","2018-01-06T01:00:00.000+08:00",40,40,"RC","KLSZ05"
"32","2018-01-06T01:00:00.000+08:00",40,40,"RV","KLSZ05"
"33","2018-01-06T01:00:00.000+08:00",40,40,"SI","KLSZ05"
"34","2018-01-06T01:00:00.000+08:00",40,40,"TN","KLSZ05"
"35","2018-01-06T01:00:00.000+08:00",40,40,"TP","KLSZ05"
"36","2018-01-06T02:00:00.000+08:00",40,40,"BM","KLSZ05"
"37","2018-01-06T02:00:00.000+08:00",40,40,"BS","KLSZ05"
"38","2018-01-06T02:00:00.000+08:00",40,40,"DT","KLSZ05"
"39","2018-01-06T02:00:00.000+08:00",40,40,"GL","KLSZ05"
"40","2018-01-06T02:00:00.000+08:00",207,204,"KL","KLSZ05"
"41","2018-01-06T02:00:00.000+08:00",40,40,"ME","KLSZ05"
"42","2018-01-06T02:00:00.000+08:00",40,40,"MP","KLSZ05"
"43","2018-01-06T02:00:00.000+08:00",40,40,"MS","KLSZ05"
"44","2018-01-06T02:00:00.000+08:00",40,40,"MU","KLSZ05"
"45","2018-01-06T02:00:00.000+08:00",40,40,"NT","KLSZ05"
"46","2018-01-06T02:00:00.000+08:00",40,40,"NV","KLSZ05"
"47","2018-01-06T02:00:00.000+08:00",40,40,"OR","KLSZ05"
"48","2018-01-06T02:00:00.000+08:00",40,40,"OT","KLSZ05"
"49","2018-01-06T02:00:00.000+08:00",40,40,"QT","KLSZ05"
"50","2018-01-06T02:00:00.000+08:00",40,40,"RC","KLSZ05"
"51","2018-01-06T02:00:00.000+08:00",40,40,"SR","KLSZ05"
"52","2018-01-06T02:00:00.000+08:00",40,40,"SV","KLSZ05"
"53","2018-01-06T02:00:00.000+08:00",40,40,"TN","KLSZ05"
"54","2018-01-06T02:00:00.000+08:00",40,40,"TP","KLSZ05"
"55","2018-01-06T03:00:00.000+08:00",40,40,"BM","KLSZ05"
"56","2018-01-06T03:00:00.000+08:00",40,40,"BS","KLSZ05"
"57","2018-01-06T03:00:00.000+08:00",40,40,"BT","KLSZ05"
"58","2018-01-06T03:00:00.000+08:00",40,40,"DT","KLSZ05"
"59","2018-01-06T03:00:00.000+08:00",40,40,"GL","KLSZ05"
"60","2018-01-06T03:00:00.000+08:00",153,163,"KL","KLSZ05"
"61","2018-01-06T03:00:00.000+08:00",40,40,"ME","KLSZ05"
"62","2018-01-06T03:00:00.000+08:00",40,40,"MP","KLSZ05"
"63","2018-01-06T03:00:00.000+08:00",40,40,"MS","KLSZ05"
"64","2018-01-06T03:00:00.000+08:00",40,40,"NV","KLSZ05"
"65","2018-01-06T03:00:00.000+08:00",40,40,"OT","KLSZ05"
"66","2018-01-06T03:00:00.000+08:00",40,40,"QT","KLSZ05"
"67","2018-01-06T03:00:00.000+08:00",40,40,"RC","KLSZ05"
"68","2018-01-06T03:00:00.000+08:00",40,40,"SR","KLSZ05"
"69","2018-01-06T03:00:00.000+08:00",40,40,"TP","KLSZ05"
"70","2018-01-06T04:00:00.000+08:00",40,40,"BM","KLSZ05"
"71","2018-01-06T04:00:00.000+08:00",40,40,"BS","KLSZ05"
"72","2018-01-06T04:00:00.000+08:00",40,40,"DT","KLSZ05"
"73","2018-01-06T04:00:00.000+08:00",40,40,"GL","KLSZ05"
"74","2018-01-06T04:00:00.000+08:00",186,194,"KL","KLSZ05"
