"","timestamp","event.hyperUnique_unique_agents","event.longSum_total_records","event.origin_subzone"
"1","2018-01-08T00:00:00.000+08:00",427,435,"KLSZ05"
"2","2018-01-08T01:00:00.000+08:00",475,509,"KLSZ05"
"3","2018-01-08T02:00:00.000+08:00",478,477,"KLSZ05"
"4","2018-01-08T03:00:00.000+08:00",459,470,"KLSZ05"
"5","2018-01-08T04:00:00.000+08:00",467,475,"KLSZ05"
"6","2018-01-08T05:00:00.000+08:00",821,821,"KLSZ05"
"7","2018-01-08T06:00:00.000+08:00",1446,1481,"KLSZ05"
"8","2018-01-08T07:00:00.000+08:00",2354,2363,"KLSZ05"
"9","2018-01-08T08:00:00.000+08:00",3000,3144,"KLSZ05"
"10","2018-01-08T09:00:00.000+08:00",2390,2468,"KLSZ05"
"11","2018-01-08T10:00:00.000+08:00",2367,2394,"KLSZ05"
"12","2018-01-08T11:00:00.000+08:00",2547,2576,"KLSZ05"
"13","2018-01-08T12:00:00.000+08:00",2498,2504,"KLSZ05"
"14","2018-01-08T13:00:00.000+08:00",2973,3063,"KLSZ05"
"15","2018-01-08T14:00:00.000+08:00",2834,2842,"KLSZ05"
"16","2018-01-08T15:00:00.000+08:00",2777,2878,"KLSZ05"
"17","2018-01-08T16:00:00.000+08:00",3148,3174,"KLSZ05"
"18","2018-01-08T17:00:00.000+08:00",3194,3222,"KLSZ05"
"19","2018-01-08T18:00:00.000+08:00",3870,3976,"KLSZ05"
"20","2018-01-08T19:00:00.000+08:00",3610,3775,"KLSZ05"
"21","2018-01-08T20:00:00.000+08:00",3032,3110,"KLSZ05"
"22","2018-01-08T21:00:00.000+08:00",2804,2824,"KLSZ05"
"23","2018-01-08T22:00:00.000+08:00",1844,1893,"KLSZ05"
"24","2018-01-08T23:00:00.000+08:00",374,382,"KLSZ05"
