"","timestamp","event.hyperUnique_unique_agents","event.longSum_total_records","event.origin_subzone"
"1","2018-01-06T00:00:00.000+08:00",659,662,"KLSZ05"
"2","2018-01-06T01:00:00.000+08:00",868,878,"KLSZ05"
"3","2018-01-06T02:00:00.000+08:00",641,643,"KLSZ05"
"4","2018-01-06T03:00:00.000+08:00",522,537,"KLSZ05"
"5","2018-01-06T04:00:00.000+08:00",505,516,"KLSZ05"
"6","2018-01-06T05:00:00.000+08:00",652,648,"KLSZ05"
"7","2018-01-06T06:00:00.000+08:00",977,1006,"KLSZ05"
"8","2018-01-06T07:00:00.000+08:00",1546,1611,"KLSZ05"
"9","2018-01-06T08:00:00.000+08:00",2113,2191,"KLSZ05"
"10","2018-01-06T09:00:00.000+08:00",2612,2691,"KLSZ05"
"11","2018-01-06T10:00:00.000+08:00",3255,3433,"KLSZ05"
"12","2018-01-06T11:00:00.000+08:00",3353,3429,"KLSZ05"
"13","2018-01-06T12:00:00.000+08:00",3615,3669,"KLSZ05"
"14","2018-01-06T13:00:00.000+08:00",3413,3584,"KLSZ05"
"15","2018-01-06T14:00:00.000+08:00",3650,3695,"KLSZ05"
"16","2018-01-06T15:00:00.000+08:00",3605,3676,"KLSZ05"
"17","2018-01-06T16:00:00.000+08:00",4123,4095,"KLSZ05"
"18","2018-01-06T17:00:00.000+08:00",4716,4824,"KLSZ05"
"19","2018-01-06T18:00:00.000+08:00",6206,6596,"KLSZ05"
"20","2018-01-06T19:00:00.000+08:00",7806,8046,"KLSZ05"
"21","2018-01-06T20:00:00.000+08:00",4011,3989,"KLSZ05"
"22","2018-01-06T21:00:00.000+08:00",3737,3784,"KLSZ05"
"23","2018-01-06T22:00:00.000+08:00",7050,6944,"KLSZ05"
"24","2018-01-06T23:00:00.000+08:00",9412,9505,"KLSZ05"
"25","2018-01-07T00:00:00.000+08:00",2228,2268,"KLSZ05"
"26","2018-01-07T01:00:00.000+08:00",1157,1179,"KLSZ05"
"27","2018-01-07T02:00:00.000+08:00",707,722,"KLSZ05"
"28","2018-01-07T03:00:00.000+08:00",659,652,"KLSZ05"
"29","2018-01-07T04:00:00.000+08:00",570,556,"KLSZ05"
"30","2018-01-07T05:00:00.000+08:00",672,670,"KLSZ05"
"31","2018-01-07T06:00:00.000+08:00",948,944,"KLSZ05"
"32","2018-01-07T07:00:00.000+08:00",1403,1411,"KLSZ05"
"33","2018-01-07T08:00:00.000+08:00",1998,2022,"KLSZ05"
"34","2018-01-07T09:00:00.000+08:00",2730,2738,"KLSZ05"
"35","2018-01-07T10:00:00.000+08:00",3048,3136,"KLSZ05"
"36","2018-01-07T11:00:00.000+08:00",3060,3166,"KLSZ05"
"37","2018-01-07T12:00:00.000+08:00",3065,3213,"KLSZ05"
"38","2018-01-07T13:00:00.000+08:00",3488,3541,"KLSZ05"
"39","2018-01-07T14:00:00.000+08:00",3717,3816,"KLSZ05"
"40","2018-01-07T15:00:00.000+08:00",3671,3744,"KLSZ05"
"41","2018-01-07T16:00:00.000+08:00",3422,3567,"KLSZ05"
"42","2018-01-07T17:00:00.000+08:00",3954,4092,"KLSZ05"
"43","2018-01-07T18:00:00.000+08:00",4933,5139,"KLSZ05"
"44","2018-01-07T19:00:00.000+08:00",4400,4424,"KLSZ05"
"45","2018-01-07T20:00:00.000+08:00",3479,3521,"KLSZ05"
"46","2018-01-07T21:00:00.000+08:00",3507,3625,"KLSZ05"
"47","2018-01-07T22:00:00.000+08:00",5986,6063,"KLSZ05"
"48","2018-01-07T23:00:00.000+08:00",432,441,"KLSZ05"
